-266, -109, 1807
-266, -124, 1931
-368, -112, 1998
-439, -88, 1996
-436, -22, 1802
-375, 0, 1486
-400, 110, 1238
-460, 263, 1052
-413, 297, 776
-313, 153, 533
-242, 141, 329
-171, 181, 113
-114, 181, -25
-29, 154, -193
-,-,-
-213, -133, 1640
-238, 90, 1715
-284, 135, 1678
-359, 126, 1775
-445, 90, 1917
-449, 1, 1903
-423, -104, 1790
-465, -104, 1650
-512, 44, 1394
-480, 173, 1153
-480, 173, 1153
-378, 186, 871
-355, 267, 638
-358, 303, 491
-,-,-
-316, -194, 1824
-310, -49, 1995
-312, 1, 1961
-419, 69, 1992
-482, -22, 1992
-473, -40, 1902
-473, -40, 1902
-531, 77, 1792
-607, 223, 1556
-568, 183, 1183
-525, 210, 997
-368, 238, 677
-200, 231, 435
-76, 270, 164
-36, 310, -50
-7, 281, -178
-,-,-
-309, -125, 1636
-200, -88, 1429
-166, -34, 1490
-207, 13, 1618
-245, -38, 1721
-249, -185, 1793
-255, -263, 1893
-381, -176, 1863
-560, 16, 1661
-613, 181, 1391
-566, 328, 1124
-449, 435, 689
-289, 249, 311
-202, 167, 210
-202, 167, 210
-194, 289, 55
-,-,-
-339, -136, 1820
-349, -219, 1969
-419, -111, 1998
-452, -10, 1998
-463, -43, 1998
-463, -43, 1998
-513, -155, 1998
-524, -181, 1875
-584, 20, 1685
-529, 163, 1223
-372, 238, 812
-341, 376, 572
-349, 602, 207
-311, 773, -113
-,-,-
-333, -199, 1785
-251, -120, 1647
-243, 54, 1719
-219, 45, 1696
-322, -8, 1915
-443, -51, 1906
-495, 61, 1796
-379, 81, 1565
-282, -27, 1369
-299, -38, 1156
-309, -60, 1009
-290, 49, 792
-290, 49, 792
-237, 124, 481
-,-,-
-142, -78, 1568
-76, -146, 1494
-67, -64, 1558
-133, 32, 1672
-215, 49, 1719
-277, 6, 1754
-323, 13, 1691
-323, 13, 1691
-372, -42, 1496
-414, -40, 1489
-402, 18, 1237
-349, 32, 1033
-302, 102, 747
-213, 263, 329
-,-,-
-136, -81, 1494
-151, -182, 1674
-259, -111, 1979
-323, -53, 1994
-438, 17, 1833
-499, -37, 1628
-500, 66, 1389
-455, 220, 966
-379, 310, 598
-297, 337, 374
-200, 308, 58
-200, 308, 58
-81, 179, -197
-,-,-
-229, -249, 1777
-205, -65, 1708
-265, -5, 1749
-323, 9, 1790
-333, -98, 1802
-336, -36, 1718
-351, 78, 1580
-385, 152, 1372
-409, 82, 1215
-409, 82, 1215
-434, 77, 1086
-467, 155, 918
-470, 280, 612
-422, 357, 291
-357, 308, 95
-274, 190, -33
-,-,-
-240, -108, 1714
-250, -105, 1927
-317, 6, 1998
-344, 6, 1957
-434, -7, 1949
-434, -7, 1949
-501, 28, 1841
-453, 24, 1539
-367, 57, 1296
-277, 100, 1056
-217, 155, 765
-213, 259, 550
-193, 213, 322
-169, 130, 197
-,-,-
-244, -122, 1549
-210, -68, 1579
-180, 53, 1604
-182, 138, 1784
-221, -6, 1964
-319, -115, 1998
-483, -138, 1998
-669, 41, 1998
-668, 59, 1840
-593, 157, 1393
-593, 157, 1393
-458, 225, 997
-328, 243, 663
-218, 299, 342
-177, 468, 84
-180, 459, -157
-168, 244, -210
-,-,-
-229, -75, 1743
-204, -53, 1796
-227, 55, 1938
-259, 150, 1990
-289, 71, 1977
-310, -97, 1998
-403, -83, 1998
-497, 98, 1916
-539, 238, 1576
-529, 201, 1246
-435, 122, 945
-435, 122, 945
-306, 167, 565
-202, 325, 177
-129, 384, -151
-59, 231, -255
-,-,-
-188, -162, 1912
-238, -130, 1998
-347, -151, 1998
-446, -160, 1998
-481, -152, 1947
-486, -82, 1745
-554, 26, 1506
-554, 26, 1506
-612, 151, 1222
-560, 135, 925
-519, 214, 701
-450, 389, 311
-317, 488, -2
-155, 415, -212
20, 251, -359
-,-,-
-277, -179, 1942
-291, -81, 1889
-375, 16, 1998
-461, 104, 1934
-534, 104, 1869
-519, 118, 1786
-466, 84, 1589
-435, 149, 1274
-366, 205, 993
-294, 175, 738
-298, 206, 640
-267, 279, 430
-267, 279, 430
-283, 357, 334
-249, 278, 45
-102, -35, -140
-,-,-
-103, -125, 1395
-79, -22, 1396
-91, 10, 1557
-192, 27, 1659
-347, 32, 1901
-495, 1, 1998
-588, -27, 1998
-588, -27, 1998
-621, -86, 1910
-607, -31, 1579
-544, 107, 1137
-388, 217, 633
-265, 268, 305
-143, 208, -2
-73, 223, -138
-24, 276, -264
41, 249, -339
-,-,-
-142, -160, 1912
-142, -160, 1912
-208, -10, 1998
-273, -24, 1998
-362, -39, 1998
-448, -78, 1998
-476, -89, 1907
-527, 17, 1679
-581, 214, 1284
-582, 357, 963
-555, 375, 768
-497, 439, 414
-446, 554, 113
-342, 472, -108
-107, 65, -294
-,-,-
-287, -8, 1998
-337, 78, 1904
-413, 63, 1998
-496, 74, 1998
-506, 95, 1917
-566, 138, 1707
-662, 211, 1454
-702, 299, 1136
-702, 299, 1136
-598, 237, 803
-489, 180, 577
-352, 160, 244
-225, 147, 47
-75, 100, -166
70, 55, -327
183, -31, -404
-,-,-
-296, 158, 1909
-334, 187, 1998
-337, 44, 1998
-447, 41, 1983
-530, 184, 1828
-530, 184, 1828
-528, 277, 1490
-469, 258, 1057
